time,power
1,217.6995
2,217.6975
3,217.6975
4,217.6965
5,217.6965
6,98.2805
7,98.2805
8,98.2805
9,98.2805
10,98.2805
11,98.2805
12,339.2455
13,320.2125
14,313.2105
15,310.6345
16,309.6865
17,309.3385
18,309.2095
19,309.1625
20,309.1455
21,309.1385
22,309.1365
23,309.1355
24,309.1355
25,309.1355
26,309.1355
27,309.1355
28,309.1355
29,309.1355
30,309.1355
31,309.1355
32,309.1355
33,309.1355
34,309.1355
35,309.1355
36,309.1355
37,309.1355
38,508.4325
39,457.2505
40,438.4225
41,431.4955
42,428.9475
43,428.0105
44,216.8105
45,216.6835
46,216.6365
47,216.6195
48,216.6135
49,216.6105
50,216.6105
51,216.6095
52,216.6095
53,98.2805
54,98.2805
55,98.2805
56,98.2805
57,98.2805
58,98.2805
59,98.2805
60,98.2805
61,98.2805
62,98.2805
63,98.2805
64,98.2805
65,98.2805
66,98.2805
67,98.2805
68,98.2805
69,98.2805
70,98.2805
71,98.2805
72,98.2805
73,98.2805
74,98.2805
75,98.2805
76,98.2805
77,98.2805
78,98.2805
79,98.2805
80,98.2805
81,98.2805
82,98.2805
83,98.2805
84,98.2805
85,98.2805
86,98.2805
87,98.2805
88,98.2805
89,98.2805
90,281.0495
91,243.3745
92,229.5145
93,224.4155
94,222.5405
95,221.8505
96,221.5965
97,221.5025
98,221.4685
99,221.4555
100,221.4515
101,221.4495
102,221.4485
103,221.4485
104,98.2805
105,98.2805
106,98.2805
107,98.2805
108,98.2805
109,98.2805
110,98.2805
111,446.4135
112,357.9925
113,325.4645
114,313.4975
115,309.0955
116,307.4755
117,306.8805
118,306.6615
119,306.5805
120,306.5505
121,306.5395
122,306.5355
123,306.5345
124,306.5335
125,306.5335
126,306.5335
127,306.5335
128,306.5335
129,306.5335
130,306.5335
131,306.5335
132,306.5335
133,306.5335
134,306.5335
135,306.5335
136,306.5335
137,518.3935
138,460.9195
139,439.7765
140,431.9975
141,429.1365
142,428.0835
143,427.6965
144,219.3015
145,219.2485
146,219.2295
147,219.2225
148,219.2195
149,219.2185
150,219.2185
151,98.2805
152,98.2805
153,98.2805
154,98.2805
155,98.2805
156,98.2805
157,98.2805
158,98.2805
159,98.2805
160,98.2805
161,98.2805
162,98.2805
163,98.2805
164,98.2805
165,98.2805
166,98.2805
167,98.2805
168,98.2805
169,98.2805
170,98.2805
171,98.2805
172,98.2805
173,98.2805
174,98.2805
175,98.2805
176,98.2805
177,98.2805
178,98.2805
179,98.2805
180,98.2805
181,98.2805
182,98.2805
183,98.2805
184,270.9565
185,238.2725
186,226.2485
187,221.8255
188,220.1985
189,219.5995
190,219.3795
191,219.2985
192,219.2685
193,219.2575
194,219.2535
195,219.2515
196,219.2515
197,219.2515
198,219.2515
199,219.2515
200,98.2805
201,98.2805
202,98.2805
203,98.2805
204,98.2805
205,98.2805
206,98.2805
207,98.2805
208,98.2805
209,98.2805
210,98.2805
211,98.2805
212,98.2805
213,98.2805
214,98.2805
215,98.2805
216,98.2805
217,98.2805
218,98.2805
219,374.4385
220,332.6445
221,317.2695
222,311.6125
223,309.5325
224,308.7665
225,308.4845
226,308.3815
227,308.3435
228,308.3295
229,308.3245
230,308.3225
231,308.3215
232,308.3215
233,308.3215
234,308.3215
235,308.3215
236,308.3215
237,308.3215
238,308.3215
239,308.3215
240,469.8335
241,444.5185
242,435.2055
243,431.7805
244,430.5195
245,430.0565
246,429.8855
247,429.8225
248,429.7995
249,429.7915
250,219.7475
251,219.7455
252,219.7455
253,219.7455
254,219.7455
255,98.2805
256,98.2805
257,98.2805
258,98.2805
259,98.2805
260,98.2805
261,98.2805
262,98.2805
263,98.2805
264,98.2805
265,98.2805
266,98.2805
267,98.2805
268,98.2805
269,98.2805
270,98.2805
271,98.2805
272,98.2805
273,98.2805
274,98.2805
275,98.2805
276,98.2805
277,98.2805
278,98.2805
279,98.2805
280,98.2805
281,98.2805
282,98.2805
283,98.2805
284,98.2805
285,98.2805
286,98.2805
287,98.2805
288,98.2805
289,98.2805
290,98.2805
291,98.2805
292,98.2805
293,268.8135
294,235.6765
295,223.4865
296,219.0015
297,217.3515
298,216.7455
299,216.5215
300,216.4395
301,216.4095
302,216.3985
303,216.3945
304,216.3925
305,216.3925
306,216.3915
307,216.3915
308,98.2805
309,98.2805
310,98.2805
311,98.2805
312,98.2805
313,98.2805
314,98.2805
315,98.2805
316,98.2805
317,98.2805
318,98.2805
319,98.2805
320,98.2805
321,98.2805
322,404.7625
323,345.7555
324,324.0475
325,316.0625
326,313.1245
327,312.0435
328,311.6465
329,311.4995
330,311.4455
331,311.4265
332,311.4185
333,311.4165
334,311.4155
335,311.4145
336,311.4145
337,311.4145
338,1670.4365
339,1638.9425
340,1627.3565
341,1623.0945
342,1621.5265
343,432.7095
344,432.4975
345,432.4185
346,432.3905
347,432.3795
348,432.3755
349,432.3745
350,432.3735
351,432.3735
352,219.2395
353,98.2805
354,98.2805
355,98.2805
356,98.2805
357,98.2805
358,98.2805
359,98.2805
360,98.2805
361,98.2805
362,98.2805
363,98.2805
364,98.2805
365,98.2805
366,98.2805
367,98.2805
368,98.2805
369,98.2805
370,98.2805
371,98.2805
372,98.2805
373,98.2805
374,98.2805
375,98.2805
376,98.2805
377,96.5098
378,96.5098
379,96.5098
380,96.5098
381,1091.3838
382,1091.3838
383,1091.3838
384,1091.3838
385,1091.3838
386,96.5098
387,96.5098
388,96.5098
389,464.7008
390,488.8748
391,461.0468
392,450.8098
393,447.0438
394,445.6588
395,445.1488
396,444.9618
397,444.8928
398,444.8668
399,444.8578
400,1432.4558
401,444.8528
402,444.8528
403,444.8528
404,326.0428
405,326.0428
406,326.0428
407,326.0428
408,326.0428
409,326.0428
410,326.0428
411,326.0428
412,326.0428
413,326.0428
414,326.0428
415,1313.6448
416,326.0428
417,2683.1628
418,2553.4454
419,2553.4454
