time,power
1,103.655
2,103.655
3,103.655
4,103.655
5,103.655
6,304.324
7,253.836
8,235.262
9,228.429
10,225.915
11,224.991
12,224.65
13,224.525
14,224.479
15,224.462
16,224.456
17,224.454
18,224.453
19,224.453
20,224.453
21,103.655
22,103.655
23,103.655
24,103.655
25,103.655
26,103.655
27,103.655
28,103.655
29,103.655
30,103.655
31,103.655
32,103.655
33,103.655
34,103.655
35,103.655
36,103.655
37,103.655
38,103.655
39,103.655
40,103.655
41,103.655
42,103.655
43,103.655
44,103.655
45,103.655
46,103.655
47,103.655
48,103.655
49,103.655
50,103.655
51,227.54
52,225.28
53,224.449
54,224.143
55,224.031
56,223.989
57,223.974
58,223.968
59,223.966
60,223.965
61,223.965
62,223.965
63,223.965
64,223.965
65,223.965
66,223.965
67,103.655
68,103.655
69,103.655
70,103.655
71,103.655
72,103.655
73,103.655
74,103.655
75,349.891
76,324.886
77,315.688
78,312.304
79,311.059
80,310.601
81,310.432
82,310.37
83,310.348
84,310.339
85,310.336
86,310.335
87,310.335
88,310.334
89,310.334
90,310.334
91,310.334
92,310.334
93,310.334
94,310.334
95,310.334
96,310.334
97,310.334
98,310.334
99,310.334
100,310.334
101,477.118
102,447.218
103,436.218
104,225.492
105,224.004
106,223.456
107,223.255
108,223.181
109,223.153
110,223.143
111,223.14
112,223.138
113,223.138
114,223.138
115,223.138
116,103.655
117,103.655
118,103.655
119,103.655
120,103.655
121,103.655
122,103.655
123,103.655
124,103.655
125,103.655
126,103.655
127,103.655
128,103.655
129,103.655
130,103.655
131,103.655
132,103.655
133,103.655
134,103.655
135,103.655
136,103.655
137,103.655
138,103.655
139,103.655
140,103.655
141,103.655
142,103.655
143,103.655
144,103.655
145,103.655
146,103.655
147,290.354
148,247.074
149,231.152
150,225.295
151,223.14
152,222.348
153,222.056
154,221.949
155,221.909
156,221.895
157,221.889
158,221.887
159,221.887
160,221.886
161,103.655
162,103.655
163,103.655
164,103.655
165,103.655
166,103.655
167,103.655
168,103.655
169,103.655
170,103.655
171,103.655
172,103.655
173,103.655
174,103.655
175,473.361
176,371.56
177,334.11
178,320.333
179,315.264
180,313.4
181,312.714
182,312.461
183,312.369
184,312.334
185,312.322
186,312.317
187,312.315
188,312.315
189,312.315
190,312.315
191,312.315
192,312.315
193,312.314
194,312.314
195,312.314
196,312.314
197,312.314
198,312.314
199,542.286
200,473.965
201,448.832
202,230.927
203,227.525
204,226.274
205,225.813
206,225.644
207,225.582
208,225.559
209,225.55
210,225.547
211,103.655
212,103.655
213,103.655
214,103.655
215,103.655
216,103.655
217,103.655
218,103.655
219,103.655
220,103.655
221,103.655
222,103.655
223,103.655
224,103.655
225,103.655
226,103.655
227,103.655
228,103.655
229,103.655
230,103.655
231,103.655
232,103.655
233,103.655
234,103.655
235,103.655
236,103.655
237,103.655
238,103.655
239,103.655
240,103.655
241,103.655
242,103.655
243,103.655
244,103.655
245,103.655
246,103.655
247,290.893
248,247.563
249,231.623
250,225.759
251,223.602
252,222.808
253,222.516
254,222.409
255,222.369
256,222.355
257,222.35
258,222.348
259,222.347
260,222.347
261,222.347
262,222.346
263,222.346
264,103.655
265,103.655
266,103.655
267,103.655
268,103.655
269,103.655
270,103.655
271,103.655
272,103.655
273,513.503
274,388.647
275,342.715
276,325.818
277,319.602
278,317.315
279,316.473
280,316.164
281,316.05
282,316.008
283,315.993
284,315.987
285,315.985
286,315.984
287,315.984
288,315.984
289,315.984
290,315.984
291,315.984
292,315.984
293,315.984
294,315.984
295,315.984
296,315.984
297,315.984
298,315.984
299,315.984
300,315.984
301,447.527
302,441.254
303,438.946
304,225.768
305,225.456
306,225.341
307,225.299
308,225.283
309,225.278
310,225.275
311,225.275
312,225.274
313,225.274
314,225.274
315,225.274
316,103.655
317,103.655
318,103.655
319,103.655
320,103.655
321,103.655
322,103.655
323,103.655
324,103.655
325,103.655
326,103.655
327,103.655
328,103.655
329,103.655
330,103.655
331,103.655
332,103.655
333,103.655
334,103.655
335,103.655
336,103.655
337,103.655
338,103.655
339,103.655
340,103.655
341,103.655
342,204.612
343,204.612
344,204.612
345,204.612
346,204.612
347,204.612
348,204.612
