time,power
1,91.2173
2,91.2173
3,294.3123
4,242.6563
5,223.6533
6,216.6623
7,214.0913
8,213.1453
9,212.7973
10,212.6683
11,212.6213
12,212.6043
13,212.5983
14,212.5953
15,212.5943
16,212.5943
17,212.5943
18,212.5943
19,212.5943
20,212.5943
21,513.3233
22,336.4303
23,316.0063
24,308.4933
25,305.7293
26,304.7123
27,304.3383
28,304.2013
29,304.1503
30,304.1313
31,304.1243
32,304.1223
33,304.1213
34,304.1213
35,304.1213
36,304.1213
37,304.1213
38,304.1213
39,304.1213
40,304.1213
41,304.1213
42,304.1213
43,304.1213
44,304.1213
45,304.1213
46,304.1213
47,304.1213
48,304.1213
49,91.2173
50,91.2173
51,91.2173
52,91.2173
53,91.2173
54,91.2173
55,216.3053
56,213.3343
57,212.2413
58,211.8393
59,211.6913
60,211.6363
61,211.6163
62,211.6093
63,211.6063
64,211.6053
65,211.6053
66,211.6053
67,211.6053
68,211.6053
69,211.6053
70,91.2173
71,91.2173
72,91.2173
73,91.2173
74,91.2173
75,91.2173
76,91.2173
77,91.2173
78,91.2173
79,91.2173
80,91.2173
81,91.2173
82,91.2173
83,91.2173
84,91.2173
85,91.2173
86,91.2173
87,91.2173
88,91.2173
89,91.2173
90,91.2173
91,91.2173
92,91.2173
93,91.2173
94,91.2173
95,91.2173
96,91.2173
97,91.2173
98,91.2173
99,91.2173
100,91.2173
101,91.2173
102,91.2173
103,91.2173
104,91.2173
105,262.1753
106,229.7293
107,217.7923
108,213.4013
109,211.7863
110,211.1913
111,210.9733
112,210.8923
113,210.8633
114,210.8523
115,210.8483
116,210.8463
117,210.8463
118,210.8463
119,210.8463
120,210.8463
121,210.8463
122,91.2173
123,91.2173
124,91.2173
125,91.2173
126,91.2173
127,91.2173
128,91.2173
129,377.1813
130,329.9563
131,312.5833
132,306.1913
133,303.8403
134,302.9753
135,302.6573
136,302.5403
137,302.4973
138,302.4813
139,302.4753
140,302.4733
141,302.4723
142,302.4723
143,302.4723
144,302.4723
145,302.4723
146,302.4723
147,302.4723
148,302.4723
149,302.4723
150,302.4723
151,302.4723
152,302.4723
153,302.4723
154,302.4723
155,302.4723
156,302.4723
157,302.4723
158,302.4723
159,293.1433
160,240.4663
161,221.0873
162,213.9583
163,211.3353
164,210.3703
165,210.0153
166,209.8853
167,209.8373
168,209.8193
169,209.8123
170,209.8103
171,209.8093
172,209.8093
173,209.8093
174,209.8093
175,209.8093
176,91.2173
177,91.2173
178,91.2173
179,91.2173
180,91.2173
181,91.2173
182,91.2173
183,91.2173
184,91.2173
185,91.2173
186,91.2173
187,91.2173
188,91.2173
189,91.2173
190,91.2173
191,91.2173
192,91.2173
193,91.2173
194,91.2173
195,91.2173
196,91.2173
197,91.2173
198,91.2173
199,91.2173
200,91.2173
201,91.2173
202,91.2173
203,91.2173
204,91.2173
205,91.2173
206,91.2173
207,91.2173
208,91.2173
209,91.2173
210,91.2173
211,91.2173
212,91.2173
213,239.2823
214,222.1483
215,215.8453
216,213.5273
217,212.6743
218,212.3603
219,212.2443
220,212.2023
221,212.1863
222,212.1813
223,212.1793
224,212.1783
225,212.1773
226,212.1773
227,212.1773
228,91.2173
229,91.2173
230,91.2173
231,91.2173
232,91.2173
233,91.2173
234,91.2173
235,91.2173
236,91.2173
237,91.2173
238,91.2173
239,91.2173
240,91.2173
241,439.3463
242,352.3933
243,320.4043
244,308.6363
245,304.3073
246,302.7153
247,302.1293
248,301.9133
249,301.8343
250,301.8053
251,301.7943
252,301.7903
253,301.7893
254,301.7883
255,301.7883
256,301.7883
257,301.7883
258,301.7883
259,301.7883
260,301.7883
261,301.7883
262,301.7883
263,301.7883
264,301.7883
265,301.7883
266,301.7883
267,301.7883
268,91.2173
269,91.2173
270,91.2173
271,91.2173
272,91.2173
273,91.2173
274,91.2173
275,91.2173
276,91.2173
277,91.2173
278,91.2173
279,91.2173
280,91.2173
281,91.2173
282,91.2173
283,91.2173
284,91.2173
285,91.2173
286,91.2173
287,91.2173
288,91.2173
289,91.2173
290,91.2173
291,91.2173
292,91.2173
293,91.2173
294,91.2173
295,91.2173
296,91.2173
297,91.2173
298,91.2173
299,91.2173
300,91.2173
301,91.2173
302,91.2173
303,91.2173
304,91.2173
305,91.2173
306,91.2173
307,91.2173
308,91.2173
309,91.2173
310,91.2173
311,91.2173
312,91.2173
313,91.2173
314,91.2173
315,91.2173
316,91.2173
317,91.2173
318,91.2173
319,91.2173
320,91.2173
321,91.2173
322,91.2173
323,91.2173
324,92.9128
325,92.9128
326,92.9128
327,92.9128
328,92.9128
329,92.9128
330,92.9128
331,92.9128
332,92.9128
333,92.9128
334,92.9128
335,92.9128
336,92.9128
337,92.9128
338,92.9128
339,331.4688
340,313.3928
341,306.7438
342,304.2978
343,303.3978
344,303.0668
345,302.9448
346,302.8998
347,302.8838
348,302.8778
349,302.8758
350,302.8748
351,302.8738
352,302.8738
353,302.8738
354,302.8738
355,302.8738
356,302.8738
357,302.8738
358,302.8738
359,302.8738
360,302.8738
361,2073.1138
362,2073.1138
363,2073.1138
364,2073.1138
365,2073.1138
366,302.8738
367,302.8738
368,302.8738
369,302.8738
370,302.8738
371,302.8738
372,302.8738
373,302.8738
374,302.8738
375,467.1708
376,229.9358
377,219.9018
378,216.2108
379,214.8528
380,214.3538
381,214.1698
382,214.1018
383,214.0768
384,214.0678
385,214.0648
386,214.0638
387,214.0628
388,214.0628
389,214.0628
390,214.0628
391,214.0628
392,214.0628
393,214.0628
394,214.0628
395,214.0628
396,214.0628
397,214.0628
398,214.0628
399,214.0628
400,214.0628
401,214.0628
402,214.0628
403,214.0628
404,214.0628
405,92.9128
